magnitude,stimLevel,numStims,betaLabels,sid,channel,subjectNum,phaseClass,setToDeliverPhase
214.654601545286,2.5,Base,0,d5cd55,144,1,90,180
160.405891157846,2.5,Base,0,d5cd55,144,1,90,180
192.276720355163,2.5,Base,0,d5cd55,144,1,90,180
210.814423725413,2.5,Base,0,d5cd55,144,1,90,180
239.188631047058,2.5,Base,0,d5cd55,144,1,90,180
202.980613524785,2.5,Base,0,d5cd55,144,1,90,180
184.245221483182,2.5,Base,0,d5cd55,144,1,90,180
218.073831924975,2.5,Base,0,d5cd55,144,1,90,180
215.043085185089,2.5,Base,0,d5cd55,144,1,90,180
305.387088655954,2.5,Base,0,d5cd55,144,1,90,180
282.765145823907,2.5,Base,0,d5cd55,144,1,90,180
225.094468489363,2.5,Base,0,d5cd55,144,1,90,180
132.582318876875,2.5,Base,0,d5cd55,144,1,90,180
161.892235890686,2.5,Base,0,d5cd55,144,1,90,180
277.400245298543,2.5,Base,0,d5cd55,144,1,90,180
259.678123850415,2.5,Base,0,d5cd55,144,1,90,180
325.644183072387,2.5,Base,0,d5cd55,144,1,90,180
227.620468764421,2.5,Base,0,d5cd55,144,1,90,180
201.45989919305,2.5,Base,0,d5cd55,144,1,90,180
225.838777243325,2.5,Base,0,d5cd55,144,1,90,180
265.1161981494,2.5,Base,0,d5cd55,144,1,90,180
245.575496116975,2.5,Base,0,d5cd55,144,1,90,180
240.350221737315,2.5,Base,0,d5cd55,144,1,90,180
228.969642438323,2.5,Base,0,d5cd55,144,1,90,180
222.609622197139,2.5,Base,0,d5cd55,144,1,90,180
264.306779223184,2.5,Base,0,d5cd55,144,1,90,180
161.627488820029,2.5,Test 1,0,d5cd55,144,1,90,180
62.4870782007971,2.5,Test 1,0,d5cd55,144,1,90,180
394.352784599201,2.5,Test 1,0,d5cd55,144,1,90,180
265.67101304854,2.5,Test 1,0,d5cd55,144,1,90,180
188.785005488803,2.5,Test 1,0,d5cd55,144,1,90,180
163.262552701173,2.5,Test 1,0,d5cd55,144,1,90,180
223.53764550949,2.5,Test 1,0,d5cd55,144,1,90,180
277.427996303696,2.5,Test 1,0,d5cd55,144,1,90,180
192.179024614514,2.5,Test 1,0,d5cd55,144,1,90,180
139.14477973933,2.5,Test 1,0,d5cd55,144,1,90,180
227.810817711576,2.5,Test 1,0,d5cd55,144,1,90,180
180.17414594435,2.5,Test 1,0,d5cd55,144,1,90,180
182.110303729835,2.5,Test 1,0,d5cd55,144,1,90,180
215.290307143656,2.5,Test 1,0,d5cd55,144,1,90,180
235.909126435961,2.5,Test 1,0,d5cd55,144,1,90,180
182.656243181614,2.5,Test 1,0,d5cd55,144,1,90,180
144.718981813657,2.5,Test 1,0,d5cd55,144,1,90,180
196.680934056815,2.5,Test 1,0,d5cd55,144,1,90,180
189.516149802923,2.5,Test 1,0,d5cd55,144,1,90,180
401.228491718911,2.5,Test 1,0,d5cd55,144,1,90,180
118.980749942885,2.5,Test 1,0,d5cd55,144,1,90,180
154.08876466444,2.5,Test 1,0,d5cd55,144,1,90,180
207.244784378593,2.5,Test 1,0,d5cd55,144,1,90,180
178.71782827774,2.5,Test 1,0,d5cd55,144,1,90,180
370.732005087904,2.5,Test 1,0,d5cd55,144,1,90,180
